"admob";"admob"
"google ads";"google/ads"
"flurry";"flurry"
"google analytics";"analytics"
"millennialmedia";"millennialmedia"
"mobclix";"mobclix"
"adwhirl";"adwhirl"
"qwapi";"qwapi"
"youmi";"youmi"
"mobfox";"mobfox"
"zestadz";"zestadz"
"cauly";"cauly"
"inmobi";"inmobi"
"wooboo";"wooboo"
"admarvel";"admarvel"
"smaato";"smaato"
"mobclick";"mobclick"
"nobot";"nobot"
"airpush";"airpush"
"mdotm";"mdotm"
"vdopia";"vdopia"
"wiyun";"wiyun"
"adhubs";"adhubs"
"madhouse";"madhouse"
"pontiflex";"pontiflex"
"innerActive";"innerActive"
"ad server adview";"adview"
"casee";"casee"
"greystripe";"greystripe"
"omniture";"omniture"
"guohead";"guohead"
"daum mobile ad";"mobilead"
"domob";"domob"
"tapjoy";"tapjoy"
"Adlantis";"Adlantis"
"adagogo";"adagogo"
"adchina";"adchina"
"jumptap";"jumptap"
"medialets";"medialets"
"nowistech";"nowistech"
"waps";"waps"
"vpon adon";"vpon"
"energysource";"energysource"
"iconosys";"iconosys"
"adwo adsdk";"adwo"
"sktelecom tad";"sktelecom"
"uplusad";"uplusad"
"smartadserver";"smartadserver"
"airad";"airad"
"emome hamiapps sdk";"emome"
"mopub mobile ads";"mopub"
"adfonic";"adfonic"
"vdroid";"vdroid"
"transpera";"transpera"
"mobgold";"mobgold"
"mobus";"mobus"
"hutuchong";"hutuchong"
"mads";"mads"
"everbadge";"everbadge"
"zetacube libzc";"zetacube"
"livepoint smartad sdk";"smartad"
"adlib_android";"adlib_android"
"trickersticks";"trickersticks"
"ccmedia";"ccmedia"
"sosceo";"sosceo"
"Mojiva";"Mojiva"
"admogo";"admogo"
"nexage";"nexage"
"rhythmnewmedia";"rhythmnewmedia"
"mediba ad sdk";"mediba"
"madvertise";"madvertise"
"qriously";"qriously"
"zumobi ad slib";"zumobi"
"netmite";"netmite"
"imapp";"imapp"
"yicha android ads";"yicha"
"oneriot";"oneriot"
"aduru";"aduru"
"admoda";"admoda"
"imobile";"imobile"
"moblico";"moblico"
"linkshare android tgad";"linkshare"
"ignitevisionv";"ignitevision"
"fractalist";"fractalist"
"plankton";"plankton"
"cellitads";"cellitads"
"appmedia";"appmedia"
"glam";"glam"
"adtutu";"adtutu"
"adfox";"adfox"
"netad";"netad"
"freewheel";"freewheel"
"adinside";"adinside"
"taobao";"taobao"
"amaze";"amaze"
"admozi";"admozi"
"wqmobile";"wqmobile"
"ubermind";"ubermind"
"innoace im ad";"innoace"
"AdyxSdk";"adyx"
